domain,cell,text_excerpt,llm_label,llm_confidence,llm_reasoning,evidence,human_label
alldaychemist.com,keep,alldaychemist equivalent brands - aldactone 25 mg - accu chek active - accupril - accuzide forte - aceon - acetadote - aciphex - acnelak cl z - acticin - actigall - activelle - actonel - adalat chrono - adrenocot - advair diskus - advair inhaler - advair rotacaps - aerocort forte - aerocort inhaler - aerocort rotacaps - aerosol inhaler - aerosol rotacaps - akarpine - albenza - albuterol - albutero,drugs,0.95,"The site lists a wide range of prescription and over-the-counter medicines, indicating it is an online pharmacy.","""alldaychemist equivalent brands - aldactone 25 mg - accu chek active - accupril ... buy viagra ... we offer high grade viagra without prescription.""",
pharmatheke-europe.com,keep,"pharmatheke-europe viagra kaufen, online potenzmittel viagra und cialis rezeptfrei bestellen pharmatheke-europe ist eine professionelle online-apotheke, spezialisiert auf potenzmittel zur behandlung von erektiler dysfunktion. bei uns können alle männer preisgünstig und versandkostenfrei das potenzmittel cialis rezeptfrei bestellen, levitra oder viagra kaufen. einfach, sicher, in wenigen minuten du",drugs,0.99,"The site is an online pharmacy specializing in erectile dysfunction drugs like Viagra and Cialis, available without prescription.","""viagra kaufen, online potenzmittel viagra und cialis rezeptfrei bestellen... spezialisiert auf potenzmittel zur behandlung von erektiler dysfunktion""",
ldivas.com,move:other,"ldivas most loved patterns tutu arm sleeve hummingbird arm sleeve koi arm sleeve sakura beige arm sleeve tattoo blossom arm sleeve the difference is comfort designed by two women with lymphedema, we offer a medical graduated compression garment made for physical and emotional comfort. our storydesigned for you it was the goal of our late founder to create compression garments that patients actuall",wellness,0.9,"The site focuses on compression garments for lymphedema, supporting physical and emotional comfort, and wellness tips.",we offer a medical graduated compression garment made for physical and emotional comfort,
wisetake.com,move:other,wisetake sign in join account join slack merch mlb content schedule strategy articles projections (dk) cheatsheet (dk) projections (fd) cheatsheet (fd) bullpen stats chat coaching nba content schedule articles projections (dk) projections (fd) cheatsheet (dk) cheatsheet (fd) coaching strategy nba chat nfl content schedule articles projections (dk) projections (fd) cheatsheet (dk) cheatsheet (fd) c,sports,0.95,"The site provides content, strategy, projections, and chat for MLB, NBA, and NFL, which are all sports leagues.","""mlb content schedule strategy articles projections ... nba content schedule articles projections ... nfl content schedule articles projections ...""",
ministerofrum.com,move:other,"ministerofrum € 10,00 € 64,00 € 1,00 € 1.500,00 € 30,00 contact the companyand request offer registeryour company address listof all members latestnews please enter your e-mail and your password.",alcohol,0.85,"The domain name and the mention of 'ministerofrum' and 'listof all members' suggest a site related to rum, which is an alcoholic beverage. The context is consistent with a site about alcohol, possibly a fan or informational site.","ministerofrum € 10,00 € 64,00 € 1,00 € 1.500,00 € 30,00 contact the companyand request offer registeryour company address listof all members latestnews",
hcgexpressdiet.com,move:other,"hcgexpressdiet health how to become a certified holistic nutrition coach? what to prepare before nose surgery? the complete guide to vitamins and their important role in the human body the charge of one’s oral health what is therapy, and how will it help you develop wellbeing? the perfect health routine you must not miss on express diet pain use humira to overcome rheumatoid arthritis pain list of",wellness,0.85,"The site discusses holistic nutrition, health routines, therapy, skincare, and pain management, all of which fall under wellness.",how to become a certified holistic nutrition coach? ... the perfect health routine ... skincare best facial cream for wrinkles,
cheapmind.com,move:other,cheapmind • create custom email addresses (you@cheapmind.com) • boost seo and ppc performance • protect your digital identity • boost seo and ppc performance • protect your digital identity • create custom email addresses (you@cheapmind.com) • boost seo and ppc performance • protect your digital identity • boost seo and ppc performance • protect your digital identity,webmail,0.8,"The site offers custom email addresses and related services, which fits the webmail category.","""create custom email addresses (you@cheapmind.com)""",
jinseipower.com,move:other,"jinseipower nano teknoloji nedir? ""dã¼nyadaki bã¼tã¼n filmleri veya bã¼tã¼n kitaplarä± tek bir cd ã¼zerinde toplamak mã¼mkã¼n mã¼? bu soruya biraz da kafa karä±åä±klä±ää± iã§erisinde hayä±r cevabä± verebilirsiniz. evet bu ã¼topik, inanä±lmaz gibi gelen hayaller nano teknolojiyle mã¼mkã¼n olabilecek. bilim adamlarä± nano teknoloji sayesinde imkansä±z gibi gã¶rã¼nen pek ã§ok buluåa imza atabilecekle",wellness,0.8,"The site discusses a product (Jinsei necklace) made with nanotechnology, claiming to protect the body from electromagnetic waves, which fits the wellness category.","""jinsei, nano teknoloji ile üretilmiş olup elektromanyetik dalgaların vücuda olan zararlarını engellemeye yardımcı olan bir üründür""",
scotto.org,move:other,"scotto | stories scripts videos music non-fiction books blog | | battle of the linguist magesin modern day los angeles, a shadowy faction led by the governor of california develops the arcane art of combat linguistics, planting the seeds of a future totalitarian empire... isobel is the queen of the medieval rave-themed vr game sparkle dungeon. her prowess in the game makes her an ideal candidate t",forum,0.8,"The site is a personal blog featuring stories, scripts, videos, music, non-fiction, and books, which fits the forum/blog category.",scotto | stories scripts videos music non-fiction books blog,
oxygenee.com,move:other,"oxygenee | finest & rarest vous propose cognac, chartreuse, calvados, rhum et autres spiritueux rares et anciens. | | absinthes.com, n°1 de l'absinthe en europe avec un choix unique et des prix imbattables. | | le musée virtuel de l'absinthe le monde de l'absinthe et des antiquités sur l'absinthe | absinthe... la fée verte... aucune autre boisson n'a la même histoire romantique - les impressionnis",alcohol,0.98,"The site offers rare spirits, especially absinthe, and discusses the history and accessories related to absinthe and other alcoholic beverages.","""vous propose cognac, chartreuse, calvados, rhum et autres spiritueux rares et anciens... absinthes.com, n°1 de l'absinthe en europe""",
illinoisaap.org,move:other,"illinoisaap promoting child, youth, and family well-being and access to quality healthcare through advocacy and member support. the illinois chapter of the american academy of pediatrics (icaap) we are an organization of over 2,000 pediatricians in illinois, dedicated to improving the health and well-being of infants, children, and adolescents throughout illinois. we advocate on behalf of children",education,0.9,The site is for a professional medical organization providing continuing education and resources for pediatric professionals.,develop and provide continuing medical education and resources for pediatric professionals,
priligydirect.com,move:other,priligydirect lagalaxy1 เป็นเว็บพนันออนไลน์ มีการเปิดให้เดิมพัน กีฬาและการพนันทุกประเภท ไม่ว่าจะเป็นการเดิมพันฟุตบอล บาคาร่า รูเล็ต เสือมังกร ไฮโล สล็อต และเกมส์อื่นๆ อีกมากมาย lagalaxy1 เป็นเว็บโดยตรงจากต่างประเทศ มีใบรับรองความปลอดภัย ลูกค้ามั่นใจได้เลยว่าทางเราจะไม่โกงแน่นอน สมัครสมาชิกใหม่ เดิมพันเริ่มต้นเพียงแค่ 5บาท อีกทั้งเว็บของเรายังเล่นง่าย รองรับทุกอุปกรณ์ อาทิเช่น คอมพวเตอร์ แท็บเล็ต แ,gamble,0.95,"The content is focused on online gambling, betting, and casino games, with detailed descriptions of betting options and promotions.","""lagalaxy1 เป็นเว็บพนันออนไลน์ มีการเปิดให้เดิมพัน กีฬาและการพนันทุกประเภท ... บาคาร่า รูเล็ต เสือมังกร ไฮโล สล็อต และเกมส์อื่นๆ อีกมากมาย""",
supplyselect.com,move:other,"supplyselect citytrip incentive kroatie & hvar eiland nabij split ligt in de adriatische zee het eiland hvar. hier tref je cultuur, sportieve opties, onts... altijd direct contact met eindaanbieder met eindaanbieder alle recensies persoonlijk gecontroleerd persoonlijk gecontroleerd binnen 2 dagen vrijblijvende offerte vrijblijvende offerte we kunnen én mogen weer naar buiten :-) op het strand, tij",travel,0.9,"The site offers group travel, company outings, and incentive trips, with details about destinations, activities, and pricing.","""citytrip incentive kroatie & hvar eiland... moeilijk om een keus te maken voor activiteit maar wel willen borrelen en bbq'en? kies dan voor bbq+... bedrijfsuitje/personeelsuitje naar praag organisere",
hukbo.com,move:other,"hukbo october 18, 2019october 18, 2019271 october 18, 2019october 18, 2019216 npa terrorists couple surrender in bukidnon october 15, 2019october 15, 2019111 2 npa terrorists surrender in surigao del sur october 15, 2019october 15, 2019460 mom says arrest of rebel son in samar a blessing october 10, 2019october 10, 2019461 teenage female npa terrorist surrenders in bulacan october 10, 2019october ",news,0.9,"The site presents news articles and updates, particularly about military and security events in the Philippines.","""the latest news - 16-year-old npa warrior wounded in clash with military october 18, 2019 - npa terrorists couple surrender in bukidnon...""",
longs.com,move:shopping,"longs longs longs drugs is now a part of cvs pharmacy welcome, longs customers. as you may be aware, longs drugs is now owned and operated by cvs pharmacy. cvs pharmacy has been doing business for nearly 50 years and our commitment to the highest quality pharmacy service has resulted in millions of loyal customers. we look forward to being your pharmacy, too. we will continue to: - provide the sam",shopping,0.9,The site is for a pharmacy chain (now part of CVS) offering prescription and nonprescription items for sale online.,"""shop online anytime for all your health, beauty, photo and household needs from the privacy and convenience of your home or office""",
perfect-curve.com,move:shopping,"perfect-curve | | | | great opportunities!here we go: since 2005 we sold tonns of pueraria mirifica worldwide. and luckily for us we left thailand before covid19 pandemia and now this business left alone. waiting for someone to pick it up and make lots of money ) please leave your requests at our facebook page few testimonialsit is really simple and easy. thanks, guys! oct, 2017 lynn. fl,uswe orde",shopping,0.9,"The site is selling pueraria mirifica, a herbal supplement, and discusses product quality, testimonials, and purchasing options.","""since 2005 we sold tonns of pueraria mirifica worldwide ... we do sell original pueraria mirifica herb, that worked through few centuries, and we do sell it for the best value available.""",
goodsonline.info,move:shopping,goodsonline 手軽に購入できる検査キット わざわざ専門的な機関に行って、検査を受けるのは面倒でしょう。 時間も掛かるので、自宅で調べてください。 今は自販機で検査キットが販売されているので、近くだったら購入しましょう。 ですがまだ検査キットの自販機は都心部や、その周辺にしか設置されていません。 自分か感染していないか調べる わざわざ専門的な機関に行って、検査を受けるのは面倒でしょう。 時間も掛かるので、自宅で調べてください。 今は自販機で検査キットが販売されているので、近くだったら購入しましょう。 ですがまだ検査キットの自販機は都心部や、その周辺にしか設置されていません。 容器に唾液を入れて専門的な機関に送るだけで、検査をしてもらえます。 結果はメールで知らされるので、それまで待っていてください。 非常に簡単な手順ですし、忙しい人でも利用できる面が人気の理由です。 唾液を採取する,shopping,0.8,"The site discusses the purchase and use of home testing kits (such as PCR test kits) via vending machines, focusing on consumer purchase and use.","""今は自販機で検査キットが販売されているので、近くだったら購入しましょう。""",
shomergroup.com,move:shopping,"shomergroup since 1983 shomer group has been the most trusted name in pakistan & europe providing products of unmatched quality with guaranteed customer satisfaction. 1983 year of innovation - the past, the present and the future shomer group private limited is one of the few companies in sialkot industry that can trace its history back in 36 years. we are iso certified & group of companies ... sh",shopping,0.85,"The site describes a company that manufactures and exports various products including beauty, surgical, dental instruments, sports goods, and fitness gear, indicating it is a business-to-business or business-to-consumer shopping site.","""shomer group private limited is one of the few companies in sialkot industry... manufacturing and exporting business concern of beauty instrumental - surgical & dental instrumental our strategic busi",
buildcons.com,move:shopping,"buildcons ""build cons” is one of india's largest manufacturer & supplier of construction machines. with a full product range, supply, serviced and supported all over india. we have got the best machine with the best quality and the right solution for all your needs. we offer rebar cutting machine, rebar bending machine, automatic rear stirrup bending machine, suspended platform, bar bending machin",shopping,0.9,"The site is a manufacturer and supplier of construction machines, offering a range of products for sale.","""build cons” is one of india's largest manufacturer & supplier of construction machines. ... we offer rebar cutting machine, rebar bending machine, ...",
bodyguardapotheke.com,move:shopping,bodyguardapotheke ihre versandapotheke im internet + versandkostenfrei ab 10 € + 1-3 werktage lieferzeit bei lagerartikeln apotheker und geschäftsführer: franz peikert und sebastian kraus die disapo apotheke wurde 2005 von familie peikert gegründet und wird seit einiger zeit gemeinsam mit familie kraus weitergeführt. das disapo logistikzentrum befindet sich nahe aachen und umfasst ca. 7.500 qm. es,shopping,0.95,"This is an online pharmacy selling medicines and health products, emphasizing its logistics, product range, and customer service.","""bodyguardapotheke ihre versandapotheke im internet... große auswahl an arzneimitteln und gesundheitsprodukten...""",
peggscompany.com,move:shopping,"peggscompany quick-drying formula instantly eliminates 99.9% of viruses & bacteria including covid-19 the peggs company, inc. keep shopping carts free of harmful viruses and bacteria introducing the most powerful cart sanitizing solution on the planet now available: rolling flexicart basket designed and built in italy, peggs now brings bizzarri group's flexicart to us markets. this single-piece wh",shopping,0.9,"The site sells shopping carts and sanitizing solutions, including specialized carts for children with special needs.","""order your 'go to' carts now!""",
pharmacyonline.com.au,move:shopping,pharmacyonline.com top searches: new on our site view all - palmer's cocoa butter formula hand cream 96gdon't pay $7.69 our price $5.95our price $5.95discount 23 %retail price: $7.69 save: $1.74 - palmer's shea formula raw shea lip balm 4gdon't pay $3.99 our price $3.50our price $3.50discount 13 %retail price: $3.99 save: $0.49 - ethical nutrients high strength omega-3 liquid (mint) 280mldon't pay,shopping,0.92,"The site is an online store selling a variety of health, wellness, and personal care products, with a focus on retail and discounts.","""top searches: new on our site view all - palmer's cocoa butter formula hand cream ... ethical nutrients high strength omega-3 liquid ... wotnot naturals face sunscreen ...""",
needdirect.com,move:shopping,needdirect dreamline & mr steam products - orders are taking 5-7 business days to ship your cart is empty cahaba designs upgrade your bathroom combined to save you time kitchen sink & faucets curated with the best faucets and sinks safety grab bars keeps loved ones safe next level experience bidet seats for a clean behind dreamline shower kits your shower awaits,shopping,0.9,"The site sells home improvement products such as bathroom and kitchen fixtures, safety grab bars, and shower kits.","""upgrade your bathroom ... kitchen sink & faucets ... safety grab bars ... dreamline shower kits""",
ridestore.ru,move:shopping,"ridestore ëèäåðû ïðîäàæ êàéò ìàãàçèí ridestore â êàéò ìàãàçèíå ridestore âû ìîæåòå êóïèòü âñå îáîðóäîâàíèå äëÿ êàéòñåðôèíãà è ñíîóêàéòèíãà, sup ñåðôèíãà è ñåðôèíãà. êàéò ìàãàçèí ridestore - ýòî ôèðìåííûé ìàãàçèí ôðàíöóçñêèõ êàéò áðåíäîâ f-one è manera, à òàêæå ðîññèéñêîãî áðåíäà òóíäðà! ó íàñ âû íàéäåòå êà÷åñòâåííîå ñíàðÿæåíèå è ïîëó÷èòå áåñïëàòíóþ êîíñóëüòàöèþ îïûòíûõ ïðî-ðàéäåðîâ, íàïðèìåð, î òî",shopping,0.95,"The site is a store selling equipment for kitesurfing, snowkiting, and surfing, including product catalogs and consultations.",вы можете купить все оборудование для кайтсерфинга и сноукайтинга ... фирменный магазин ... каталог,
feltcompany.com,move:shopping,feltcompany toggle menu search sign in or register categories shop felt materials felt materials sae pressed wool felt eco-lux firm sheet felt designer wool felt polyester felt eco-felt designer board felt crate lining felt filtration felt felt tape / stripping stif-felt - floor protection tuf-felt clearance and closeouts pure felt specials - 3mm shop felt products felt products ppe - masks / shie,shopping,0.95,"The site lists various felt materials and products for sale, indicating it is an online shop.","""categories shop felt materials... shop felt products... brands view all brands""",
dealflair.com,move:shopping,dealflair search home browse coupons categories contact latest coupons ending soon coupons popular coupons 1995 30% off nanocraft cbd take 30% off your order get code bd30 0 4766 10% off smokecartel take 10% off your order get code ve10 0 2449 15% off kari gran take 15% off your order get code me15 0 2284 $5 off caskers coupon take $5 off your order get code home 0 2166 $30 off ardent cannabis tak,shopping,0.95,"The site is focused on providing coupons and deals for various products and stores, which fits the shopping category.",browse coupons categories contact latest coupons ending soon coupons popular coupons,
flipplus.com,move:status,flipplus we will send you the domain transfer instructions via email. you should receive this email within the next few minutes what's included: - domain name: flipplus.com - complimentary logo design - complimentary audience testing - payment plan available pay monthly (lease to own) - as low as $177 usd per month - begin using domain immediately - full ownership after final payment questions? he,parked,0.95,The page is selling the domain name itself and does not provide any other service or content.,"""we will send you the domain transfer instructions via email... what's included: - domain name: flipplus.com""",
shop108sexiest.wordpress.com,move:status,shop108sexiest.wordpress shop108sexiest.wordpress.com is no longer available. this site has been archived or suspended for a violation of our terms of service. for more information and to contact us please read this support document. this site has been archived or suspended for a violation of our terms of service. for more information and to contact us please read this support document.,unavailable,1.0,The site is suspended or archived and not accessible.,"""this site has been archived or suspended for a violation of our terms of service.""",
lunasoon.com,move:status,lunasoon this domain was recently registered at namecheap.com . please check back later! lunasoon.com,parked,1.0,The page states the domain was recently registered and has no content.,"""this domain was recently registered at namecheap.com . please check back later!""",
whitepeak.ru,move:status,whitepeak в корневой папке сайта нет индексного файла что случилось? — отсутствует файл главной страницы сайта (index.php или /hosting_static_lostindex/index.html); — сайт неверно размещен в панели управления. разместите сайт по инструкции или обратитесь к нашим специалистам.,unavailable,1.0,"The page states that there is no index file and the site is not properly set up, indicating it is not currently available.","""в корневой папке сайта нет индексного файла что случилось? — отсутствует файл главной страницы сайта (index.php или /hosting_static_lostindex/index.html);""",
famehot.com,move:status,"famehot the domain name famehot.com is for sale $1,530 dating domain name for sale. with a website that drives traffic, your domain is your email too! famehot.com let's connect! jane @ on your office building, domain pronounciation - radio test | s.no. | term | verbiage | | 1 | industry category | this versatile domain name may appeal to a range of industries, but most specifically, the following:",parked,0.9,"The page is a domain sales listing, not an active site with content.","""the domain name famehot.com is for sale $1,530... this versatile domain name may appeal to a range of industries...""",
inact.ru,move:status,inact ___________________________sale -50%____________________________________ ______этот домен отлично подойдет для развития вашего онлайн-бизнеса!_______ _______цена домена снижена в 2 раза! акция действует до конца недели!________ о домене| яндекс тиц | 0 | | google pagerank | 0 | | дата первой регистрации | 08.10.2008 | | дата регистрации | 24.11.2016 | | дата выставления на продажу | 02.03.20,parked,1.0,The page is advertising the domain for sale and contains no other substantive content.,этот домен отлично подойдет для развития вашего онлайн-бизнеса! ... цена домена снижена в 2 раза!,
paintbelieve.com,move:status,paintbelieve this domain has been registered via blacknight. manage or renew the domain here . paintbelieve.com,parked,1.0,The page is a domain registration/parking page with no substantive content.,"""this domain has been registered via blacknight. manage or renew the domain here . paintbelieve.com""",
viagra-kaufen.eu,move:status,"viagra-kaufen domain default page this page was generated by froxlor server management panel. if you see this page, it means that there is no content on this domain yet. please ask your provider for an access to your froxlor login and remove the index.html in your domain's document root if you don't want to see this page.",unavailable,1.0,The page is a default server page indicating there is no content on the domain.,"this page was generated by froxlor server management panel. if you see this page, it means that there is no content on this domain yet.",
valium-qwq.blogspot.com,move:status,"valium-qwq.blogspot blog not found sorry, the blog you were looking for does not exist. however, the name valium-qwq is available to register! register valium-qwqsorry, the blog you were looking for does not exist. however, the name valium-qwq is available to register! register valium-qwq",unavailable,0.99,The blog does not exist and only displays a message that the name is available to register.,"""blog not found sorry, the blog you were looking for does not exist.""",
valtrex-qwq.blogspot.com,move:status,"valtrex-qwq.blogspot blog not found sorry, the blog you were looking for does not exist. however, the name valtrex-qwq is available to register! register valtrex-qwqsorry, the blog you were looking for does not exist. however, the name valtrex-qwq is available to register! register valtrex-qwq",unavailable,1.0,The blog does not exist and only displays a message that the name is available to register.,"the blog you were looking for does not exist. however, the name valtrex-qwq is available to register!",
zerow.com,move:status,"zerow du wirst weitergeleitet zu jamaica feeling wenn nicht, dann click hier",parked,0.9,"The page is a redirect placeholder, not providing any substantive content.","du wirst weitergeleitet zu jamaica feeling wenn nicht, dann click hier",
bazink.com,move:status,"bazink bazink.com and other names on squadhelp marketplace do not include trademarks or business registration. in order to apply for a trademark or business registration, you are required to specify the business in details including: location, type/industry, name of director(s), and what services the company/product will provide. since bazink.com can be purchased by anyone for any use, it would no",parked,0.9,"The site is a domain marketplace listing, offering the domain for sale and discussing trademarking, not providing any substantive content.","""bazink.com can be purchased by anyone for any use, it would not be possible for us to file a trademark in advance.""",
lancair.com,no-verdict:abstain,"lancair more than 2,100 lancairs are owned and operated in 34 countries on 5 continents. hundreds are flying with tens of thousands of flight hours logged. lancair promotes the highest standards of safety in the industry. better performance and more options than other 4-place aircraft. the 4-place mako is customized, not compromised. introducing for 2019 the latest innovation from lancair is a new",,0.5,"The site is about aircraft manufacturing and ownership, which does not fit any of the provided categories.","""more than 2,100 lancairs are owned and operated in 34 countries on 5 continents...the 4-place mako is customized, not compromised.""",
munesyt.com,no-verdict:abstain,munesyt äº§ååç±» product classification | æå¡ççº¿ | | | 13378506037 | - å ¨é¢ç»æå¤åè½ä»ªå¨å°æ¿éç©åå¨åæ æ¿å¼æè£ è½å°ç»æ åµå ¥å¼è®¾è®¡ è¾ å©è®¾å¤è£ å¤ç®± å¯åæ¾çç©ºãè°åãååãcpsçµæºãæé£çè®¾å¤ å¯æ ¹æ®éæ±åçº§éé³ãé²çåè½ æ°´çµæ°åè½é¢æ¿ æé¢è®¾è®¡ æ£ä¿®ãç»´æ¤æ¹ä¾¿ å¤å½¢ç¾è§ æ°´ãçµãæ°å¯ç¬ç«æ¶çº³ æ´æ´ç¾è§ãå®å ¨,,0.3,"The content is mostly garbled or in a non-Latin script with little context, and the English portions do not provide enough information to confidently classify the domain.","""product classification | ...""",
canadians-pills.com,no-verdict:abstain,canadians-pills 必威体育网站首页 收集电闸的密码啊。所有电子元件和电子元件的所有图纸和结构和分析的一致 ， ， ， 磁图符号提供电子元件和电子电路的电路。在电子电子电子系统里符号符号让你看一种不同的符号和不同的符号。 现在没有任何地方，这是基于全球范围内的代表，代表所有的代表。 电子电闸和电子系统 所有的电子邮件和电子灯泡的功能 betway必威随行版 根据学生的能力和学习能力的知识 在自动售货机里 根据符号符号的符号符号符号的符号符号 电子邮件的电子邮件 通过这些电子邮件，这些电子邮件显示，这些符号代表了七种的网络，这些由世界各地的恒星组成的 这可能是你的…… 做个组织组织 磁器 三种和其他的 大多数网站都是网页搜索 开关 电力发电 电电器,,0.2,"The content is mostly in Chinese and discusses electronics, symbols, and diagrams, with no clear reference to drugs, pharmaceuticals, or any other listed category.","""所有电子元件和电子元件的所有图纸和结构和分析的一致""",
relaxfinger.com,no-verdict:abstain,relaxfinger the browser you are using is not supported. we recommend using chrome or firefox to get the best experience.,,0.2,The page only displays a browser compatibility message and does not provide any information about the site's purpose or content.,"""relaxfinger the browser you are using is not supported. we recommend using chrome or firefox to get the best experience.""",
goodsnake.com,no-verdict:abstain,goodsnake home about portfolio contact shop back who's good snake? who's kayla? who's hannah? back greatest hits illustration & lettering strategy & project management instagram home about who's good snake? who's kayla? who's hannah? portfolio greatest hits illustration & lettering strategy & project management instagram contact shop a creative studio,,0.5,"The site is a creative studio with portfolio and illustration work, but does not fit any provided category such as art, shopping, or forum.",a creative studio ... illustration & lettering strategy & project management,
soulfoo.com,no-verdict:abstain,soulfoo looks like you're lost the page you're looking for is no longer available.,,0.1,"The page only displays a message that the page is no longer available, with no information about the site's content or purpose.","""looks like you're lost the page you're looking for is no longer available.""",
fadepad.com,no-verdict:abstain,"fadepad the new drawing experience! constantly disapearing lines let you create rhythmical patterns and tell your stories. make a video or project your live show. use fadepad in art, at school, in therapy or just for fun at your next party. fadepad runs in your web browser and can be used offline on mobile devices by adding it to your homescreen.",,0.4,"The site describes a drawing tool/app, but does not fit any of the provided categories.","""the new drawing experience! constantly disapearing lines let you create rhythmical patterns and tell your stories... use fadepad in art, at school, in therapy or just for fun...""",
